timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_120439,bigearthnet,resnext,cnn,NT,test_mAP_macro,gaussian,3.0,0.5532919764518738
20241028_122101,imagenet,densenet,cnn,PT,test_accuracy_macro,bilateral,0,0.7978817820549011
20241028_134332,rgb_bigearthnet,deit,transformer,NT,test_mAP_macro,bilateral,9,0.5242676138877869
20241028_131329,deepglobe,convmixer,transformer,NT,test_mAP_macro,channel_shuffle,12,0.3381253182888031
20241028_122543,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,patch_shuffle,4,0.5997678637504578
20241028_134452,caltech,regnet,cnn,NT,test_accuracy_macro,channel_inversion,2,0.05025733262300491
20241028_120134,bigearthnet,resnext,cnn,NT,test_mAP_macro,median,3,0.6657311916351318
20241028_150538,caltech,pit,transformer,NT,test_accuracy_macro,sobel,0,0.5911221504211426
20241028_151444,rgb_bigearthnet,beit,transformer,NT,test_mAP_macro,patch_shuffle,15,0.5076431632041931
20241028_150053,imagenet,regnety,cnn,PT,test_accuracy_macro,median,9,0.3027937114238739
20241028_134919,caltech,densenet,cnn,NT,test_accuracy_macro,sobel,0,0.7581800222396851
20241028_121754,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,bilateral,31,0.40914037823677063
20241028_164828,caltech_120,deit,transformer,NT,test_accuracy_macro,channel_inversion,2,0.050454288721084595
20241028_124513,rgb_bigearthnet,xception,cnn,NT,test_mAP_macro,patch_rotation,8,0.5991461873054504
20241028_133208,imagenet,mobilenet,cnn,PT,test_accuracy_macro,median,9,0.3653997480869293
20241028_140720,imagenet,xception,cnn,PT,test_accuracy_macro,gaussian,9.0,0.049457378685474396
20241028_135553,imagenet,xception,cnn,PT,test_accuracy_macro,bilateral,3,0.5625636577606201
20241028_170412,caltech_120,pit,transformer,NT,test_accuracy_macro,median,15,0.60518878698349
20241028_125207,rgb_bigearthnet,inception,cnn,NT,test_mAP_macro,bilateral,15,0.27465805411338806
20241028_124128,deepglobe,pvt,transformer,NT,test_mAP_macro,greyscale,0,0.6664637923240662
20241009_182040,rgb_bigearthnet,densenet,cnn,ST,test_mAP_macro,,,0.6489975452423096
20241028_145544,caltech,pvt,transformer,NT,test_accuracy_macro,bilateral,3,0.6511732339859009
20241028_143313,bigearthnet,pvt,transformer,NT,test_mAP_macro,bilateral,31,0.4594762325286865
20241028_165820,caltech_120,pvt,transformer,NT,test_accuracy_macro,gaussian,0.0,0.6589586138725281
20241028_161604,caltech_120,mobilenet,cnn,NT,test_accuracy_macro,gaussian,2.0,0.265900194644928
20241028_121149,deepglobe,deit,transformer,NT,test_mAP_macro,median,3,0.23123621940612793
20241002_135723,deepglobe,resnet,cnn,ST,test_mAP_macro,,,
20241028_151151,caltech,beit,transformer,NT,test_accuracy_macro,gaussian,0.5,0.5531873106956482
20241028_152758,bigearthnet,beit,transformer,NT,test_mAP_macro,greyscale,0,0.6632074117660522
20241028_102652,deepglobe,resnet,cnn,NT,test_mAP_macro,patch_rotation,4,0.6684345006942749
